Potentially Taxable Income,Fraction of TOC
0,0.0
30223,0.100743333
30886,0.102953333
31597,0.105323333
32340,0.1078
33550,0.111833333
33857,0.112856667
34555,0.115183333
35497,0.118323333
36285,0.12095
22320,0.0744
22363,0.074543333
22363,0.074543333
22411,0.074703333
22803,0.07601
23187,0.07729
23457,0.07819
23587,0.078623333
24087,0.08029
25946,0.086486667
25946,0.086486667
