Year,Revenue,Operating Expenses,Loan,Depreciation,State Taxes,Federal Taxes,After-Tax Cash Flow,Discounted Cash Flow,Cumulative Cash Flow
1,0,-300000,0,0,0,0,0,0,-300000
2,73063,42840,0,30222,0,0,30222,28783,-271216
3,74667,43781,0,30885,0,0,30885,29414,-241801
4,76386,44789,0,31596,0,0,31596,30092,-211709
5,78184,45844,0,32340,0,0,32340,30800,-180909
6,81107,47557,0,33549,0,0,33549,31952,-148957
7,81845,47988,0,33857,0,0,33857,32244,-116712
8,83535,48980,0,34554,0,0,34554,32909,-83803
9,85813,50316,0,35496,0,0,35496,33806,-49996
10,87718,51433,0,36285,0,0,36285,34557,-15439
11,74400,52080,0,1216,1055,4431,16832,16031,591
12,74544,52181,0,0,1118,4696,16548,15760,16352
13,74544,52181,0,0,1118,4696,16548,15760,32112
14,74706,52295,0,0,1120,4706,16584,15794,47907
15,76008,53205,0,0,1140,4788,16874,16070,63978
16,77286,54099,0,0,1159,4869,17158,16341,80319
17,78192,54735,0,0,1172,4925,17358,16531,96851
18,78624,55037,0,0,1179,4953,17454,16623,113474
19,80292,56205,0,0,1204,5058,17824,16975,130449
20,86490,60544,0,0,1297,5448,19200,18285,148735
21,86490,60544,0,0,1297,5448,19200,18285,167021
