0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,62066,63430,64890,66417,68900,69527,70963,72898,74516,74400,74544,74544,74706,76008,77286,78192,78624,80292,86490,86490
0,73063,74667,76386,78184,81107,81845,83535,85813,87718,74400,74544,74544,74706,76008,77286,78192,78624,80292,86490,86490
