0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-200000,-181689,-162976,-143832,-124239,-103912,-83399,-62462,-40956,-18972,-785,14975,30735,46530,62600,78942,95473,112096,129072,147358,165644
-300000,-271216,-241801,-211709,-180909,-148957,-116712,-83803,-49996,-15439,591,16352,32112,47907,63978,80319,96851,113474,130449,148735,167021
