Potentially Taxable Income,Fraction of TOC
0,0.0
17504,0.08752
16907,0.084535
16222,0.08111
15451,0.077255
14090,0.07045
13725,0.068625
12852,0.06426
11602,0.05801
10492,0.05246
9821,0.049105
9715,0.048575
9715,0.048575
9594,0.04797
8608,0.04304
7602,0.03801
6862,0.03431
6504,0.03252
5079,0.025395
-784,-0.00392
-784,-0.00392
