0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,10615,10615,10615,10615,10615,10615,10615,10615,10615,10615,10615,10615,10615,10615,10615,10615,10615,10615,10176,7855
0,10615,10615,10615,10615,10615,10615,10615,10615,10615,10615,10615,10615,10615,10615,10615,10615,10615,10615,10176,7855
0,13835,13835,13835,13835,13835,13835,13835,9035,9035,9035,9035,9035,9035,9035,9035,9035,9035,9035,7666,6685
0,13835,13835,13835,13835,13835,13835,13835,9035,9035,9035,9035,9035,9035,9035,9035,9035,9035,9035,7666,6685
