0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-200000,-189890,-179780,-169671,-159561,-149452,-139342,-129233,-119123,-109014,-98904,-88795,-78685,-68576,-58466,-48357,-38247,-28138,-18028,-8336,-855
-200000,-189890,-179780,-169671,-159561,-149452,-139342,-129233,-119123,-109014,-98904,-88795,-78685,-68576,-58466,-48357,-38247,-28138,-18028,-8336,-855
-200000,-186823,-173647,-160471,-147295,-134119,-120942,-107766,-99161,-90557,-81952,-73347,-64742,-56138,-47533,-38928,-30323,-21719,-13114,-5813,554
-200000,-186823,-173647,-160471,-147295,-134119,-120942,-107766,-99161,-90557,-81952,-73347,-64742,-56138,-47533,-38928,-30323,-21719,-13114,-5813,554
