Potentially Taxable Income,Fraction of TOC
0,0.0
26921,0.089736667
26921,0.089736667
26921,0.089736667
26921,0.089736667
26921,0.089736667
26921,0.089736667
26921,0.089736667
26921,0.089736667
26921,0.089736667
18000,0.06
18000,0.06
18000,0.06
30000,0.1
30000,0.1
30000,0.1
30000,0.1
30000,0.1
30000,0.1
30000,0.1
30000,0.1
