Year,Revenue,Operating Expenses,Loan,Depreciation,State Taxes,Federal Taxes,After-Tax Cash Flow,Discounted Cash Flow,Cumulative Cash Flow
1,0,-200000,0,0,0,0,0,0,-200000
2,61200,43696,0,17504,0,0,17504,16670,-183329
3,62544,45637,0,16907,0,0,16907,16101,-167227
4,63984,47762,0,16222,0,0,16222,15449,-151778
5,65489,50038,0,15451,0,0,15451,14715,-137062
6,67938,53848,0,14090,0,0,14090,13419,-123643
7,68556,54831,0,13725,0,0,13725,13071,-110572
8,69972,57120,0,12852,0,0,12852,12240,-98332
9,71880,60278,0,11602,0,0,11602,11049,-87282
10,73476,62984,0,10492,0,0,10492,9992,-77290
11,74400,64579,0,9821,0,0,9821,9353,-67937
12,74544,64829,0,9715,0,0,9715,9252,-58684
13,74544,64829,0,9715,0,0,9715,9252,-49432
14,74706,65112,0,9594,0,0,9594,9137,-40295
15,76008,67400,0,8608,0,0,8608,8198,-32097
16,77286,69684,0,7602,0,0,7602,7240,-24857
17,78192,71330,0,6862,0,0,6862,6535,-18321
18,78624,72120,0,6504,0,0,6504,6194,-12127
19,80292,75213,0,2734,117,492,4469,4256,-7871
20,86490,87274,0,0,0,0,-784,-746,-8617
21,86490,87274,0,0,0,0,-784,-746,-9364
