Potentially Taxable Income,Fraction of TOC
0,0.0
8932,0.04466
9128,0.04564
9338,0.04669
9557,0.047785
9915,0.049575
10006,0.05003
10212,0.05106
10490,0.05245
10723,0.053615
10858,0.05429
10879,0.054395
10879,0.054395
10902,0.05451
11093,0.055465
11280,0.0564
11411,0.057055
11474,0.05737
11717,0.058585
12622,0.06311
12622,0.06311
