Year,F1,F2,F3,F4,F5
1,10000,24000,5000,2500,500
2,10000,24000,5000,2500,500
3,10000,24000,5000,2500,500
4,10000,24000,5000,2500,500
5,10000,24000,5000,2500,500
6,10000,24000,5000,2500,500
7,10000,24000,5000,2500,500
8,10000,24000,5000,2500,500
9,10000,24000,5000,2500,500
10,10000,24000,5000,2500,500
11,10000,24000,5000,2500,500
12,10000,24000,5000,2500,500
13,10000,24000,5000,2500,500
14,10000,24000,5000,2500,500
15,10000,24000,5000,2500,500
16,10000,24000,5000,2500,500
17,10000,24000,5000,2500,500
18,10000,24000,5000,2500,500
19,10000,24000,5000,2500,500
20,10000,24000,5000,2500,500
