Potentially Taxable Income,Fraction of TOC
0,0.0
19226,0.09613
19649,0.098245
20101,0.100505
20573,0.102865
21343,0.106715
21539,0.107695
21983,0.109915
22582,0.11291
23083,0.115415
22320,0.1116
22363,0.111815
22363,0.111815
22411,0.112055
22803,0.114015
23187,0.115935
23457,0.117285
23587,0.117935
24087,0.120435
25946,0.12973
25946,0.12973
