Year,Revenue,Operating Expenses,Loan,Depreciation,State Taxes,Federal Taxes,After-Tax Cash Flow,Discounted Cash Flow,Cumulative Cash Flow
1,0,-200000,0,0,0,0,0,0,-200000
2,61200,43696,0,17504,0,0,17504,17160,-182839
3,62544,45637,0,16907,0,0,16907,16575,-166263
4,63984,47762,0,16222,0,0,16222,15903,-150359
5,65489,50038,0,15451,0,0,15451,15148,-135211
6,67938,53848,0,14090,0,0,14090,13813,-121398
7,68556,54831,0,13725,0,0,13725,13455,-107942
8,69972,57120,0,12852,0,0,12852,12600,-95342
9,71880,60278,0,11602,0,0,11602,11374,-83967
10,73476,62984,0,10492,0,0,10492,10286,-73681
11,74400,64579,0,9821,0,0,9821,9628,-64052
12,74544,64829,0,9715,0,0,9715,9524,-54528
13,74544,64829,0,9715,0,0,9715,9524,-45003
14,74706,65112,0,9594,0,0,9594,9405,-35598
15,76008,67400,0,8608,0,0,8608,8439,-27158
16,77286,69684,0,7602,0,0,7602,7452,-19705
17,78192,71330,0,6862,0,0,6862,6727,-12978
18,78624,72120,0,6504,0,0,6504,6376,-6601
19,80292,75213,0,2734,117,492,4469,4381,-2220
20,86490,87274,0,0,0,0,-784,-768,-2988
21,86490,87274,0,0,0,0,-784,-768,-3757
