Year,F1,F2,F3,F4,F5,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Operating Expenses
1,10200,24480,5100,2550,510,0,0,0,0,0,0,0,0,0,0,43696
2,10424,25018,5212,2606,521,0,0,0,0,0,0,0,0,0,0,45637
3,10664,25594,5332,2666,533,0,0,0,0,0,0,0,0,0,0,47762
4,10915,26196,5458,2729,546,0,0,0,0,0,0,0,0,0,0,50038
5,11323,27175,5662,2831,566,0,0,0,0,0,0,0,0,0,0,53848
6,11426,27422,5713,2856,571,0,0,0,0,0,0,0,0,0,0,54831
7,11662,27989,5831,2915,583,0,0,0,0,0,0,0,0,0,0,57120
8,11980,28752,5990,2995,599,0,0,0,0,0,0,0,0,0,0,60278
9,12246,29390,6123,3062,612,0,0,0,0,0,0,0,0,0,0,62984
10,12400,29760,6200,3100,620,0,0,0,0,0,0,0,0,0,0,64579
11,12424,29818,6212,3106,621,0,0,0,0,0,0,0,0,0,0,64829
12,12424,29818,6212,3106,621,0,0,0,0,0,0,0,0,0,0,64829
13,12451,29882,6226,3113,623,0,0,0,0,0,0,0,0,0,0,65112
14,12668,30403,6334,3167,633,0,0,0,0,0,0,0,0,0,0,67400
15,12881,30914,6440,3220,644,0,0,0,0,0,0,0,0,0,0,69684
16,13032,31277,6516,3258,652,0,0,0,0,0,0,0,0,0,0,71330
17,13104,31450,6552,3276,655,0,0,0,0,0,0,0,0,0,0,72120
18,13382,32117,6691,3346,669,0,0,0,0,0,0,0,0,0,0,75213
19,14415,34596,7208,3604,721,0,0,0,0,0,0,0,0,0,0,87274
20,15035,36084,7517,3759,752,0,0,0,0,0,0,0,0,0,0,94941
