Year,Revenue,Operating Expenses,Loan,Depreciation,State Taxes,Federal Taxes,After-Tax Cash Flow,Discounted Cash Flow,Cumulative Cash Flow
1,0,-200000,0,0,0,0,0,0,-200000
2,14127,0,0,14127,0,0,14127,13454,-186545
3,14437,0,0,14437,0,0,14437,13749,-172796
4,14770,0,0,14770,0,0,14770,14066,-158729
5,15117,0,0,15117,0,0,15117,14397,-144332
6,15682,0,0,15681,0,0,15681,14934,-129397
7,15825,0,0,15825,0,0,15825,15071,-114325
8,16152,0,0,16152,0,0,16152,15382,-98943
9,16592,0,0,16592,0,0,16592,15801,-83141
10,16961,0,0,16961,0,0,16961,16153,-66987
11,74400,0,0,60338,703,2953,70743,67375,387
12,74544,0,0,0,3727,15654,55162,52535,52923
13,74544,0,0,0,3727,15654,55162,52535,105458
14,74706,0,0,0,3735,15688,55282,52649,158108
15,76008,0,0,0,3800,15961,56245,53567,211676
16,77286,0,0,0,3864,16230,57191,54468,266144
17,78192,0,0,0,3909,16420,57862,55106,321251
18,78624,0,0,0,3931,16511,58181,55411,376662
19,80292,0,0,0,4014,16861,59416,56586,433249
20,86490,0,0,0,4324,18162,64002,60954,494204
21,86490,0,0,0,4324,18162,64002,60954,555158
