Year,Revenue,Operating Expenses,Loan,Depreciation,State Taxes,Federal Taxes,After-Tax Cash Flow,Discounted Cash Flow,Cumulative Cash Flow
1,0,-200000,0,0,0,0,0,0,-200000
2,51772,42841,0,8931,0,0,8931,8505,-191494
3,52909,43782,0,9127,0,0,9127,8692,-182801
4,54127,44790,0,9337,0,0,9337,8892,-173909
5,55401,45845,0,9556,0,0,9556,9100,-164808
6,57472,47558,0,9914,0,0,9914,9441,-155366
7,57994,47989,0,10005,0,0,10005,9528,-145838
8,59192,48981,0,10211,0,0,10211,9724,-136113
9,60806,50317,0,10489,0,0,10489,9989,-126123
10,62156,51434,0,10722,0,0,10722,10211,-115912
11,62938,52081,0,10857,0,0,10857,10340,-105572
12,63060,52182,0,10878,0,0,10878,10360,-95212
13,63060,52182,0,10878,0,0,10878,10360,-84852
14,63197,52296,0,10901,0,0,10901,10381,-74470
15,64298,53206,0,11092,0,0,11092,10563,-63906
16,65379,54100,0,11279,0,0,11279,10741,-53164
17,66146,54736,0,11410,0,0,11410,10866,-42298
18,66511,55038,0,11473,0,0,11473,10926,-31371
19,67922,56206,0,11716,0,0,11716,11158,-20213
20,73166,60545,0,11224,69,293,12257,11674,-8539
21,73166,60545,0,0,631,2650,9339,8894,355
