start,end,length,filtered_values
1,10,10,"[{""id"": ""initialSellingPriceAmount13"", ""value"": ""8.8"", ""remarks"": ""5x higher multiplier in years 10-20""}]"
10,20,11,"[{""id"": ""initialSellingPriceAmount13"", ""value"": ""8.8"", ""remarks"": ""5x higher multiplier in years 10-20""}]"
