Year,Revenue,Operating Expenses,Loan,Depreciation,State Taxes,Federal Taxes,After-Tax Cash Flow,Discounted Cash Flow,Cumulative Cash Flow
1,0,-200000,0,0,0,0,0,0,-200000
2,50810,0,0,50810,0,0,50810,48390,-151609
3,50810,0,0,50810,0,0,50810,48390,-103219
4,50810,0,0,50810,0,0,50810,48390,-54828
5,50810,0,0,47570,162,680,49967,47588,-7240
6,50810,0,0,0,2540,10670,37599,35808,28568
7,50810,0,0,0,2540,10670,37599,35808,64377
8,50810,0,0,0,2540,10670,37599,35808,100186
9,50810,0,0,0,2540,10670,37599,35808,135995
10,50810,0,0,0,2540,10670,37599,35808,171804
11,60000,0,0,0,3000,12600,44400,42285,214090
12,60000,0,0,0,3000,12600,44400,42285,256375
13,60000,0,0,0,3000,12600,44400,42285,298661
14,60000,0,0,0,3000,12600,44400,42285,340947
15,60000,0,0,0,3000,12600,44400,42285,383232
16,60000,0,0,0,3000,12600,44400,42285,425518
17,60000,0,0,0,3000,12600,44400,42285,467804
18,60000,0,0,0,3000,12600,44400,42285,510090
19,60000,0,0,0,3000,12600,44400,42285,552375
20,60000,0,0,0,3000,12600,44400,42285,594661
21,60000,0,0,0,3000,12600,44400,42285,636947
